1.2066	0.1838	0.5572	138.9826
1.2135	0.1751	0.5702	143.6628
1.2238	0.1744	0.5653	143.9422
1.213	0.189	0.5619	143.792
1.2291	0.1766	0.5693	134.2564
1.2111	0.1741	0.5693	131.4497
1.2276	0.1766	0.5652	142.5948
1.224	0.1766	0.5701	133.3279
1.2116	0.1763	0.5738	142.7821
1.2109	0.1764	0.5611	150.979
1.2104	0.1769	0.5591	144.2251
1.2274	0.1773	0.5667	142.2266
1.2269	0.1775	0.5649	140.5707
1.2101	0.1741	0.5698	137.0076
1.2086	0.1753	0.5642	135.0534
1.2059	0.1763	0.5726	143.1311
1.212	0.1754	0.5611	131.2979
1.2058	0.1754	0.5559	144.2912
1.2218	0.1762	0.5762	145.2597
1.2074	0.1767	0.5604	143.1725

