0.5272	0.2259	0.9362	70.2886
0.5311	0.2279	0.9577	67.9652
0.5298	0.2264	0.9541	73.7084
0.5317	0.2287	0.9522	71.9942
0.5251	0.2262	0.9384	70.5977
0.5324	0.2277	0.9542	71.5242
0.5314	0.2289	0.9472	72.4566
0.5286	0.2278	0.9644	72.4644
0.5294	0.2293	0.9492	71.7808
0.5302	0.2269	0.9412	71.7524
0.5306	0.2323	0.9499	71.6139
0.5303	0.2253	0.9463	67.6722
0.53	0.23	0.9515	72.3707
0.53	0.2278	0.9467	69.7373
0.5306	0.2266	0.9499	71.4231
0.5315	0.2288	0.9484	69.88
0.5295	0.228	0.9503	70.8633
0.5318	0.2252	0.945	70.5275
0.5317	0.2269	0.9602	72.8432
0.5317	0.2269	0.9528	72.6428

