0.3314	0.2264	0.9428	61.1179
0.3291	0.2273	0.9355	64.726
0.3338	0.2272	0.9569	63.7194
0.3317	0.2287	0.9462	63.1922
0.3331	0.2275	0.9497	62.682
0.3316	0.2294	0.9457	62.635
0.3314	0.2267	0.9452	63.4582
0.3395	0.2285	0.9608	61.0494
0.3316	0.2301	0.9378	62.9412
0.3331	0.228	0.9489	61.9401
0.3332	0.2289	0.9524	58.4716
0.3311	0.2275	0.9554	64.1591
0.3323	0.2288	0.95	58.3874
0.3327	0.2307	0.955	64.2062
0.3308	0.2277	0.9391	61.5929
0.3313	0.2275	0.9459	63.643
0.3321	0.2302	0.964	63.5683
0.3332	0.228	0.9474	64.8856
0.3331	0.2312	0.9827	60.4099
0.3309	0.23	0.9508	60.7255

