0.8356	0.177	0.5711	137.3996
0.8334	0.1866	0.5782	139.9398
0.8342	0.1763	0.5747	137.1519
0.833	0.1786	0.578	137.0287
0.8338	0.1839	0.5677	136.7723
0.8361	0.1765	0.5858	129.4248
0.8352	0.1783	0.5689	135.0435
0.8309	0.1773	0.5724	134.605
0.8327	0.1782	0.578	126.7592
0.8317	0.1774	0.5791	143.6599
0.8371	0.1765	0.5672	142.6951
0.8318	0.1771	0.5796	134.9825
0.841	0.1894	0.576	137.4357
0.8328	0.1784	0.5669	132.0446
0.8354	0.178	0.5675	124.4198
0.829	0.1785	0.5704	134.0368
0.8357	0.1763	0.5695	133.2587
0.832	0.1767	0.576	126.1634
0.8352	0.1759	0.5802	133.932
0.8338	0.1773	0.5804	137.4161

